date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:35:57	21898/21898	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20May%202020%2010:06:00%20GMT	http://192.168.43.61:8081/?page_id=62	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/index2f07.html	(from http://192.168.43.61:8081/)
15:35:57	20433/20433	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20May%202020%2010:06:00%20GMT	http://192.168.43.61:8081/?page_id=76	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/indexe8f6.html	(from http://192.168.43.61:8081/)
15:35:58	3665/3665	---M-Z	200	added ('OK')	text/html	date:Sun,%2003%20May%202020%2010:06:01%20GMT	http://192.168.43.61:8081/wp-login.php	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-login.html	(from http://192.168.43.61:8081/)
15:36:00	40472/40472	---M-Z	200	added ('OK')	application/javascript	etag:%229e18-5a42f87b22960-gzip%22	http://192.168.43.61:8081/wp-content/themes/colorway/assets/js/jquery.all.min.js?ver=5.1.5	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/js/jquery.all.minc6ac.js	(from http://192.168.43.61:8081/)
15:36:00	1403/1403	---M-Z	200	added ('OK')	application/javascript	etag:%2257b-574a661196280-gzip%22	http://192.168.43.61:8081/wp-includes/js/wp-embed.min.js?ver=5.1.5	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-includes/js/wp-embed.minc6ac.js	(from http://192.168.43.61:8081/)
15:36:01	351/351	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2010:06:03%20GMT	http://192.168.43.61:8081/wp-content/themes/colorway/assets/fonts/glyphicons-halflings-regular.eot	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/fonts/glyphicons-halflings-regular.eot	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:01	351/351	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2010:06:04%20GMT	http://192.168.43.61:8081/wp-content/themes/colorway/assets/fonts/glyphicons-halflings-regular.eot?	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/fonts/glyphicons-halflings-regulard41d.eot	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:01	353/353	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2010:06:04%20GMT	http://192.168.43.61:8081/wp-content/themes/colorway/assets/fonts/glyphicons-halflings-regular.woff2	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/fonts/glyphicons-halflings-regular.woff2	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:01	352/352	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2010:06:04%20GMT	http://192.168.43.61:8081/wp-content/themes/colorway/assets/fonts/glyphicons-halflings-regular.woff	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/fonts/glyphicons-halflings-regular.woff	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:02	351/351	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2010:06:04%20GMT	http://192.168.43.61:8081/wp-content/themes/colorway/assets/fonts/glyphicons-halflings-regular.ttf	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/fonts/glyphicons-halflings-regular.ttf	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:02	351/351	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2010:06:05%20GMT	http://192.168.43.61:8081/wp-content/themes/colorway/assets/fonts/glyphicons-halflings-regular.svg	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/fonts/glyphicons-halflings-regular.svg	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
